,Filename,Mean_Street_Quality,Distance,Speed,Relevant
1276,Ecosense/bikeride-gps-c6434f8e2ba0c1c7e600de998c3f8c9e571c50a8.csv,17.0,1768.0,5.0,True
138,Ecosense/bikeride-gps-92695cd23ccbe5d5766f188c7c96c89a313b91ad.csv,17.0,3907.0,4.0,True
168,Ecosense/bikeride-gps-954208986faba7d8d7b65411037d1de8937f3f5f.csv,17.0,2020.0,4.0,True
188,Ecosense/bikeride-gps-1381d75497da2bfcf9e9b2be7e6877fa6e9a6cd6.csv,17.0,6906.0,4.0,True
238,Ecosense/bikeride-gps-78801bc62de6dc558dceff7592efd83dab5affc5.csv,17.0,3261.0,4.0,True
326,Ecosense/bikeride-gps-586a9009fdbb1ffaa01fc9003f938e9c1f3eb402.csv,17.0,2633.0,4.0,True
431,Ecosense/bikeride-gps-01a451329fc30fade5d1b574a75b6c3c7a30c71a.csv,17.0,9137.0,4.0,True
447,Ecosense/bikeride-gps-05f7392f565a36dcc20791075d295dd48d956300.csv,17.0,1410.0,4.0,True
580,Ecosense/bikeride-gps-2f3933b0514927bcbd3b07f17d76e59d2763170b.csv,17.0,2724.0,4.0,True
706,Ecosense/bikeride-gps-58ae74a843c52f424c7c42935df37c1f37b367c8.csv,17.0,5899.0,4.0,True
871,Ecosense/bikeride-gps-c41875c2fc62cc0c7eca191ba9e60abeab41c5f7.csv,17.0,3115.0,4.0,True
1057,Ecosense/bikeride-gps-e3c82b95f29609e96701f46bf797d166b6836522.csv,17.0,7809.0,4.0,True
1126,Ecosense/bikeride-gps-bfa0c4351ed173c8f1f31bb8a0bed019d9699f12.csv,17.0,2101.0,4.0,True
406,Ecosense/bikeride-gps-93c15198bdcaf1033b2614183b50c7aa7e85a216.csv,17.0,1131.0,3.0,True
491,Ecosense/bikeride-gps-11ac493dd7a76301c121e4f6441aa4d88be700f9.csv,17.0,1120.0,3.0,True
711,Ecosense/bikeride-gps-59b112e688465aeaecc44d15020a068d90d1b9b2.csv,17.0,809.0,3.0,True
933,Ecosense/bikeride-gps-d6539e38a5e6a29ddbde6b9e4b94a821a1209846.csv,17.0,4502.0,3.0,True
1150,Ecosense/bikeride-gps-cf8383c191a3c016b7ed07cae022cd5805a1cfb7.csv,17.0,2081.0,2.0,True
490,Ecosense/bikeride-gps-11a9d365de209dea63124d5993ebe33777d7d420.csv,18.0,1263.0,7.0,True
938,Ecosense/bikeride-gps-bcf844f08670fd629b063d3998de17ff17cb0483.csv,18.0,5365.0,6.0,True
1013,Ecosense/bikeride-gps-b1bebf3cd8e8ca2a93ef0e1da2265189622009f1.csv,18.0,15249.0,6.0,True
93,Ecosense/bikeride-gps-71506ac468f222c3c1c0024ef3dca57421bb4f18.csv,18.0,3099.0,5.0,True
343,Ecosense/bikeride-gps-9738754838f99b1047176b8e27f7c5893b42e7c2.csv,18.0,1627.0,5.0,True
348,Ecosense/bikeride-gps-6158d1be13366b1dbc22c3bf8dbfdcfb9108e3f2.csv,18.0,3363.0,5.0,True
517,Ecosense/bikeride-gps-1a10fc99f41ea0532d260cb4c76a7394c8303389.csv,18.0,982.0,5.0,True
586,Ecosense/bikeride-gps-31cce60dedb433db3c0ce1f1d5f77ce33bfa5bc2.csv,18.0,3484.0,5.0,True
723,Ecosense/bikeride-gps-5c718d78b88f3b540f45bf4a7a0226d16972c3fb.csv,18.0,10179.0,5.0,True
744,Ecosense/bikeride-gps-6af03fd6f1c2e3f295afafef20c893f6edac16d8.csv,18.0,855.0,5.0,True
56,Ecosense/bikeride-gps-a44142e60c7ed4cbb88d0618434aef45f0e7534f.csv,18.0,3860.0,4.0,True
58,Ecosense/bikeride-gps-192692df740802f3e123ccc08f36f41b41d50154.csv,18.0,876.0,4.0,True
121,Ecosense/bikeride-gps-68e1d01b97f7623fc95d80db0599dfb376498d2f.csv,18.0,1969.0,4.0,True
173,Ecosense/bikeride-gps-a19d70df72992cfbfe607178ddd777eca82624e9.csv,18.0,1641.0,4.0,True
186,Ecosense/bikeride-gps-a14ccddd018a9e624c60f3a2ad8278ef2e737fc2.csv,18.0,993.0,4.0,True
194,Ecosense/bikeride-gps-0935702b143b759a65b1aedc5acccb207292d12e.csv,18.0,1812.0,4.0,True
220,Ecosense/bikeride-gps-16504f082b525113e5ae6777f11f4254ad03b205.csv,18.0,2195.0,4.0,True
225,Ecosense/bikeride-gps-44254902dbc11ff10cb04075ae18e5897c6c8a50.csv,18.0,3447.0,4.0,True
324,Ecosense/bikeride-gps-9539b6b50d4022d6dc52b4d70de038de3776d491.csv,18.0,9573.0,4.0,True
694,Ecosense/bikeride-gps-54e245ac8e98dfcd620217b79519986ed7fdd56f.csv,18.0,875.0,4.0,True
972,Ecosense/bikeride-gps-dcc2e39b9ec912c9c87ca6f2301948441c68cc68.csv,18.0,2100.0,4.0,True
1081,Ecosense/bikeride-gps-c3d213b14c04c89d2661ba89d60acb396f78e302.csv,18.0,1591.0,4.0,True
1127,Ecosense/bikeride-gps-d31d8a1461e682681b6516d2bf7d84a36846e2b7.csv,18.0,3633.0,4.0,True
619,Ecosense/bikeride-gps-3b831c856b1a2d4c98eb18310408cc02c2a74fb2.csv,18.0,4732.0,3.0,True
690,Ecosense/bikeride-gps-53e66d142a118146d0dbd574cfeb85a0ac8b50e5.csv,18.0,1759.0,3.0,True
740,Ecosense/bikeride-gps-6a38a2885bc0510d04a0be5f3a2dbd07a34b8651.csv,18.0,1059.0,3.0,True
664,Ecosense/bikeride-gps-4c221b5f1f5c1a8cef09b3ab8dac119f4de1b985.csv,18.0,1073.0,2.0,True
112,Ecosense/bikeride-gps-714340fae2d9860f1398b285342c1f2bf9cfad5f.csv,19.0,7129.0,5.0,True
268,Ecosense/bikeride-gps-62de674a580098eb19a88e3e18ac70b6435c4d25.csv,19.0,15774.0,5.0,True
414,Ecosense/bikeride-gps-0717a0f3850d067daea312572fdc789fad4190f4.csv,19.0,1790.0,5.0,True
422,Ecosense/bikeride-gps-a8873e266f30129686b944d12a6d9b7005b15d82.csv,19.0,1025.0,5.0,True
438,Ecosense/bikeride-gps-004e5f704f00b5fddf87a9f5dc41cf7f786bb6d2.csv,19.0,1121.0,5.0,True
1085,Ecosense/bikeride-gps-fc7a5a83182e91cdc1286af7b4dc1b894c585571.csv,19.0,1334.0,5.0,True
1134,Ecosense/bikeride-gps-f6c40b7b0d2d5ada5f557c77bf34b53316a48cfc.csv,19.0,3424.0,5.0,True
1175,Ecosense/bikeride-gps-f6d9f947df172a422718189093b2f75d68cd0edb.csv,19.0,1253.0,5.0,True
1238,Ecosense/bikeride-gps-bae00ed343ddb487aedcdc81ba403d83fa040333.csv,19.0,3231.0,5.0,True
57,Ecosense/bikeride-gps-a4d8804723e97b86a0e4f038908fb89e877612d2.csv,19.0,985.0,4.0,True
307,Ecosense/bikeride-gps-44872b69dfbaf83b7b263baad7f0638745cdf541.csv,19.0,1201.0,4.0,True
379,Ecosense/bikeride-gps-245058c009d31a4a8afcdf68b12ce85bbe9c86cf.csv,19.0,4281.0,4.0,True
400,Ecosense/bikeride-gps-91d02865595244978b31381195592c297cd7cf0f.csv,19.0,1501.0,4.0,True
437,Ecosense/bikeride-gps-03af855b0b5c8cbc66f7bdf498bf76a1ee055936.csv,19.0,2514.0,4.0,True
528,Ecosense/bikeride-gps-1bd9c445085d2861b376f5dede4888b756944046.csv,19.0,888.0,4.0,True
830,Ecosense/bikeride-gps-9b11813c3f9dc53c52872e81ca289971e950d604.csv,19.0,3981.0,4.0,True
1071,Ecosense/bikeride-gps-cb6725468b04333d9640e65f0535b1dbc67ac8a9.csv,19.0,4004.0,4.0,True
1088,Ecosense/bikeride-gps-aeaa3714c4dfd1b25349203a31a0933383c0485e.csv,19.0,4104.0,4.0,True
1161,Ecosense/bikeride-gps-f63b86c02e50c227d825c89a4776cc197dfd990a.csv,19.0,6732.0,4.0,True
255,Ecosense/bikeride-gps-86a80d3bd28ce347ced93f05513e0367b8b9bdb0.csv,19.0,1894.0,3.0,True
850,Ecosense/bikeride-gps-9f68e3328bf2f353a59d30a9c0ce61bfc1869acf.csv,19.0,9889.0,3.0,True
1212,Ecosense/bikeride-gps-e8bbf1f589ceab97fb32ca4eb6cec7c39e822b93.csv,19.0,5252.0,3.0,True
10,Ecosense/bikeride-gps-78fc2b9881de6d8a17b37fa8a9e9d040937a5fe3.csv,19.0,2818.0,2.0,True
259,Ecosense/bikeride-gps-a5b9e18627c144ec7faeb1247d92bc26d5bd822e.csv,19.0,6704.0,2.0,True
932,Ecosense/bikeride-gps-db2e1185c764ee7e49cdd0d84c1d9b37fb232b3e.csv,20.0,2879.0,9.0,True
71,Ecosense/bikeride-gps-51895fd91ed98f53dd569a264dd303df862f9330.csv,20.0,6555.0,6.0,True
356,Ecosense/bikeride-gps-6122067ba2fdb782b46df16b76e4aa34522df5af.csv,20.0,3953.0,5.0,True
515,Ecosense/bikeride-gps-1a0eeff9f7abeb6e74a6e4744b869c5f3cfc49ac.csv,20.0,5931.0,5.0,True
589,Ecosense/bikeride-gps-31fffbf7b0b884cd0c84c7ab024e666e2c03ae0e.csv,20.0,2671.0,5.0,True
782,Ecosense/bikeride-gps-7ad48b87e8a4c8966d278b3cea5f111ef72cc0f4.csv,20.0,12167.0,5.0,True
312,Ecosense/bikeride-gps-a19392cbe0ac824e71c239a353b092631772ff2e.csv,20.0,2106.0,4.0,True
335,Ecosense/bikeride-gps-507cd9054cf2a3022388199fec98bf842d9974dd.csv,20.0,3010.0,4.0,True
516,Ecosense/bikeride-gps-1a10bda3c2af8d9a4721724239cccc4adf821b06.csv,20.0,4187.0,4.0,True
540,Ecosense/bikeride-gps-1fc8f7d1571ebe553a5ca52259f4b408fb4088ec.csv,20.0,6065.0,4.0,True
682,Ecosense/bikeride-gps-4ff1a9a46ace31aeb0d3dd1ed31f1df2a6a953df.csv,20.0,9568.0,4.0,True
847,Ecosense/bikeride-gps-9e1b151c2bc2b2e6f038229d74801ddf1bfdc4ae.csv,20.0,5436.0,4.0,True
989,Ecosense/bikeride-gps-b82e2c67966519ac70ed7e459c05b71723fa8b80.csv,20.0,5795.0,4.0,True
1199,Ecosense/bikeride-gps-d08235a13a30a8cdda652a0eb3eaaa9ef71af67d.csv,20.0,1708.0,4.0,True
1202,Ecosense/bikeride-gps-dc74c50fb3573586ec7af9d2d031c9c565e2da20.csv,20.0,2982.0,4.0,True
442,Ecosense/bikeride-gps-03ca6a0c91583a96fbf19e851fc4851ed681fd80.csv,20.0,1112.0,3.0,True
724,Ecosense/bikeride-gps-5c793d9ea0274c2ddc668678c278a71cf00ac99d.csv,20.0,3005.0,3.0,True
